A a
MERGER merger
midnight midnight
might may
Miller Miller
million million
modernizing modernize
Monday Monday
money money
more more
most most
multi multi
must must
names name
near near
Nevertheless nevertheless
new new
newly newly
next next
night night
no no
none none
not not
notice notice
November November
number number
obtain obtain
occupation occupation
of of
off off
offer offer
offered offer
Office office
offices office
official official
officials official
often often
old old
On on
one one
ones one
Opelika Opelika
opened open
operated operate
operating operate
operation operation
opposed oppose
opposes oppose
or or
order order
orderly orderly
Ordinary ordinary
other other
our our
out out
outgoing outgoing
outmoded outmoded
outright outright
overall overall
paid pay
Party party
pass pass
passed pass
past past
pay pay
Pearl Pearl
Pelham Pelham
pension pension
per per
periodic periodic
permit permit
personnel personnel
petition petition
petitions petition
phone phone
picking pick
pistol pistol
place place
plan plan
plans plan
platform platform
pointed point
Police police
Policeman policeman
policies policy
political political
polls poll
populous populous
portion portion
possible possible
post post
practices practice
praise praise
praised praise
precincts precinct
present present
presentments presentment
previous previous
prices price
pricing price
primary primary
principal principal
priority priority
prison prison
privilege privilege
problem problem
procedures procedure
produced produce
program program
promise promise
promised promise
property property
proportionate proportionate
PROPOSED propose
protect protect
PROTECTED protect
provide provide
provided provided
public public
Purchasing purchase
purpose purpose
put put
Pye Pye
quiet quiet
race race
raises raise
rally rally
re re
read read
ready ready
real real
realize realize
reasonable reasonable
receive receive
received receive
receives receive
recent recent
recommendations recommendation
recommended recommend
reconsideration reconsideration
reconstruction reconstruction
reduce reduce
reelection reelection
Regarding regarding
registered register
registration registration
rejected reject
relations relation
relative relative
remedy remedy
repair repair
repealed repeal
reportedly reportedly
reports report
Republicans republican
requesting request
rescind rescind
research research
resignation resignation
resigned resign
resolution resolution
responses response
result result
revised revise
REVOLVING revolve
Ridge ridge
road road
Roads road
Rob Rob
Robert Robert
run run
Rural rural
said say
sales sale
Sam Sam
Saturday Saturday
Savannah Savannah
saw see
says say
scheduled schedule
Schley Schley
school school
see see
seek seek
seen see
Senate senate
September September
servants servant
serve serve
services service
session session
sessions session
set set
settlement settlement
Sheriff sheriff
shortly shortly
shot shoot
should shall
sign sign
signatures signature
similar similar
since since
size size
smell smell
smooth smooth
Snodgrass Snodgrass
so so
some some
something something
son son
soon soon
sought seek
source source
speaker speaker
specifically specifically
starts start
State state
steps step
stood stand
strong strong
studied study
study study
subjected subject
succeeded succeed
such such
suit suit
Sunday Sunday
superintendent superintendent
Superior superior
support support
surveillance surveillance
swipe swipe
system system
Tabb Tabb
take take
taken take
takes take
Tax tax
taxpayers taxpayer
teacher teacher
technical technical
telephone telephone
term term
test test
Texas Texas
than than
thanks thank
that that
The the
them they
then then
there there
these these
They they
this this
threats threat
three three
through through
time time
title title
to to
together together
told tell
Tom Tom
too too
took take
top top
topics topic
tossed toss
toward toward
Tower Tower
traditional traditional
traveled traveled
trouble trouble
Tuesday Tuesday
two two
unanimous unanimous
under under
undue undue
unit unit
unmeritorious unmeritorious
up up
upon upon
urban urban
urged urge
validity validity
Vandiver Vandiver
veiled veil
very very
veteran veteran
violence violence
visit visit
vote vote
voted vote
voters voter
votes vote
voting vote
wait wait
wanted want
WARDS ward
warned warn
warning warning
was be
Washington Washington
we we
Wednesday Wednesday
weekend weekend
Welfare welfare
well well
went go
were be
what what
When when
where where
whether whether
which which
While while
who who
widespread widespread
wife wife
will will
William William
Williams Williams
wind wind
with with
won win
word word
work work
worked work
worth worth
would will
year year
years year
yet yet
